"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector"
"5656","Cleantec Equipment Ltd","2017-18","25,896","90,400",3,"Northern Ireland","Fermanagh and Omagh",81222,"Admin & Support Service Activities"
"5657","Cranmore Consulting Limited","2016-17","4,906","10,023",0,"Northern Ireland","Ards and North Down",62020,"Information & Communication"
"5658","Pip Chemicals","2016-17","14,430","48,100",1,"Northern Ireland","Ards and North Down",8910,"Mining & Quarrying"
"5659","Sendmybag.com","2016-17","49,000","540,000",10,"Northern Ireland","Ards and North Down",82990,"Admin & Support Service Activities"
"5660","Name cannot be released","2016-17","5,000","10,635",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10710,"Manufacturing"
"5661","Big Motive Ltd","2016-17","7,350","15,000",0,"Northern Ireland","Belfast",59110,"Information & Communication"
"5662","Itssoome Limited","2016-17","2,980","5,960",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",47190,"Wholesale & Retail Trade & Repair of Vehicles"
"5663","NIICE Ltd","2016-17","45,900","90,000",0,"Northern Ireland","Belfast",58290,"Information & Communication"
"5664","Hoy & Dorman Ltd","2016-17","4,706","9,412",0,"Northern Ireland","Belfast",71129,"Professional, Scientific & Technical Activities"
"5665","Sheep Island View Hostel","2017-18","48,100","261,404",0,"Northern Ireland","Causeway Coast and Glens",55202,"Accommodation & Food Service Activities"
"5666","Made to Engage","2017-18","240,000","2,605,000",40,"Northern Ireland","Belfast",62012,"Information & Communication"
"5667","Rademon Estate Distillery Limited","2016-17","2,292","4,583",0,"Northern Ireland","Newry, Mourne and Down",11010,"Manufacturing"
"5668","Kingspan Group Plc","2016-17","4,312","10,866",0,"Irish Republic","Armagh City, Banbridge and Craigavon",32990,"Manufacturing"
"5669","Fabplus Limited","2017-18","144,206","412,016",0,"Irish Republic","Derry City and Strabane",24200,"Manufacturing"
"5670","Rising Star Designs Ltd","2016-17","10,000","27,500",0,"Northern Ireland","Belfast",13920,"Manufacturing"
"5671","Crossen Engineering Ltd","2016-17","36,711","147,821",0,"Northern Ireland","Lisburn and Castlereagh",25730,"Manufacturing"
"5672","Cadshare Technology Limited","2016-17","7,250","14,500",0,"Northern Ireland","Belfast",58290,"Information & Communication"
"5673","Crust & Crumb","2016-17","14,700","30,000",0,"Northern Ireland","Fermanagh and Omagh",10710,"Manufacturing"
"5674","The Grass People Ltd","2016-17","10,000","82,700",2,"Northern Ireland","Armagh City, Banbridge and Craigavon",1300,"Agriculture, Forestry & Fishing"
"5675","ETimes2 Ltd","2016-17","4,450","8,900",0,"Northern Ireland","Newry, Mourne and Down",70229,"Professional, Scientific & Technical Activities"
"5676","RPS Consulting Engineers","2018-19","47,329","255,000",0,"Northern Ireland","Belfast",71121,"Professional, Scientific & Technical Activities"
"5677","Fabricat (Ireland) Limited","2016-17","16,298","48,697",0,"Northern Ireland","Mid Ulster",25110,"Manufacturing"
"5678","Newry Computer Repair","2016-17","4,920","12,300",0,"Northern Ireland","Newry, Mourne and Down",62020,"Information & Communication"
"5679","Lenis Aer Limited","2016-17","3,350","6,700",0,"Northern Ireland","Belfast",71129,"Professional, Scientific & Technical Activities"
"5680","NC Engineering","2016-17","25,000","90,875",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",28302,"Manufacturing"
"5681","Kraydel Limited","2016-17","60,185","167,175",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"5682","PGY Group Limited","2016-17","5,000","10,000",0,"Northern Ireland","Belfast",62011,"Information & Communication"
"5683","Funds-Axis Limited","2016-17","1,500","3,000",0,"Northern Ireland","Belfast",66190,"Financial & Insurance Activities"
"5684","Bopworx Limited","2016-17","6,540","16,640",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities"
"5685","Heartsine Technologies Limited","2016-17","228,000","621,880",30,"United States Of America","Belfast",32500,"Manufacturing"
"5686","Elite Electronic Systems Ltd","2016-17","25,000","68,450",0,"Northern Ireland","Fermanagh and Omagh",26120,"Manufacturing"
"5687","Bite to Savour","2016-17","41,000","197,000",5,"Northern Ireland","Newry, Mourne and Down",10890,"Manufacturing"
"5688","Makematic Ltd","2016-17","49,000","248,000",6,"Northern Ireland","Derry City and Strabane",58210,"Information & Communication"
"5689","Neueda Consulting","2017-18","231,840","1,117,100",0,"Northern Ireland","Belfast",85590,"Education"
"5690","Secure Broadcast Ltd","2016-17","813","1,625",0,"Northern Ireland","Belfast",62010,"Information & Communication"
"5691","Blockbusters Environmental Services (NI) Limited","2016-17","2,750","5,500",0,"Northern Ireland","Newry, Mourne and Down",81299,"Admin & Support Service Activities"
"5692","Hartech Building Services Limited","2016-17","3,400","6,800",0,"Northern Ireland","Belfast",43210,"Construction"
"5693","Bailies Coffee Co. Ltd","2016-17","30,370","113,678",0,"Northern Ireland","Belfast",10830,"Manufacturing"
"5694","Kerry Group PLC","2017-18","70,238","721,310",0,"Great Britain","Causeway Coast and Glens",10510,"Manufacturing"
"5695","AMS U.K. (NI) Ltd","2016-17","32,000","328,250",8,"Northern Ireland","Mid and East Antrim",21200,"Manufacturing"
"5696","Gault Engineering","2016-17","2,694","8,325",0,"Northern Ireland","Mid and East Antrim",25620,"Manufacturing"
"5697","Woodvale Construction","2016-17","1,960","4,000",0,"Northern Ireland","Fermanagh and Omagh",41201,"Construction"
"5698","Adoreboard Limited","2016-17","47,778","115,660",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"5699","RM Steel Erection Limited","2016-17","26,000","212,000",4,"Northern Ireland","Fermanagh and Omagh",25110,"Manufacturing"
"5700","Book Entertainment","2016-17","3,500","7,000",0,"Northern Ireland","Derry City and Strabane",79909,"Admin & Support Service Activities"
"5701","Book Entertainment","2016-17","2,500","5,000",0,"Northern Ireland","Derry City and Strabane",79909,"Admin & Support Service Activities"
"5702","Shebelle Limited","2016-17","10,000","237,000",0,"Northern Ireland","Belfast",96020,"Other Service Activities"
"5703","Portadown Fireplaces","2016-17","8,100","20,250",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",23310,"Manufacturing"
"5704","STATSports Group Limited","2016-17","49,088","140,250",0,"Northern Ireland","Newry, Mourne and Down",62012,"Information & Communication"
"5705","Digitalbrain Europe Limited","2016-17","3,500","7,000",0,"Northern Ireland","Derry City and Strabane",62020,"Information & Communication"
"5706","Xerofone Ltd","2016-17","3,780","8,000",0,"Northern Ireland","Newry, Mourne and Down",62012,"Information & Communication"
"5707","Wave and Wake Ltd","2016-17","8,328","20,820",0,"Northern Ireland","Ards and North Down",47640,"Wholesale & Retail Trade & Repair of Vehicles"
"5708","Made to Engage","2016-17","11,760","24,000",0,"Northern Ireland","Belfast",62012,"Information & Communication"
"5709","Micon Distribution Limited","2016-17","9,086","27,047",0,"Northern Ireland","Lisburn and Castlereagh",46499,"Wholesale & Retail Trade & Repair of Vehicles"
"5710","Inspire Loyalty","2016-17","1,500","3,000",0,"Northern Ireland","Mid and East Antrim",82990,"Admin & Support Service Activities"
"5711","Jonah Technologies Limited","2016-17","28,200","565,600",3,"Northern Ireland","Derry City and Strabane",58200,"Information & Communication"
"5712","Cyphra Limited","2016-17","48,220","752,350",7,"Northern Ireland","Belfast",62090,"Information & Communication"
"5713","Glenbio Ltd","2016-17","27,900","206,598",3,"Northern Ireland","Antrim and Newtownabbey",20590,"Manufacturing"
"5714","Dukes at Queens","2016-17","15,080","39,392",0,"Northern Ireland","Belfast",55100,"Accommodation & Food Service Activities"
"5715","Hyster-Yale UK Limited","2017-18","599,406","5,321,502",0,"United States of America","Armagh City, Banbridge and Craigavon",28220,"Manufacturing"
"5716","Steam & Generation Services (NI) Ltd","2016-17","7,686","28,208",0,"Northern Ireland","Derry City and Strabane",71129,"Professional, Scientific & Technical Activities"
"5717","Carrageen Rose Skincare","2016-17","2,675","5,350",0,"Northern Ireland","Derry City and Strabane",20411,"Manufacturing"
"5718","Revive Express Beauty Ltd","2016-17","34,800","200,000",3,"Northern Ireland","Mid Ulster",47750,"Wholesale & Retail Trade & Repair of Vehicles"
"5719","Nugent Engineering","2016-17","15,000","34,800",0,"Northern Ireland","Mid Ulster",28302,"Manufacturing"
"5720","One Goal","2016-17","4,281","69,070",0,"Northern Ireland","Fermanagh and Omagh",93190,"Arts, Entertainment & Recreation"
"5721","Static Industrial Coatings Ltd","2016-17","1,000","2,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",25610,"Manufacturing"
"5722","PT Treats","2017-18","74,975","644,585",9,"Northern Ireland","Newry, Mourne and Down",10710,"Manufacturing"
"5723","Woodvale Construction","2017-18","32,195","112,532",0,"Northern Ireland","Fermanagh and Omagh",41201,"Construction"
"5724","Seven Technologies Holdings Limited","2017-18","328,297","966,738",0,"Northern Ireland","Lisburn and Castlereagh",62012,"Information & Communication"
"5725","Bishops Gate Hotel","2016-17","11,250","40,296",0,"Northern Ireland","Derry City and Strabane",55100,"Accommodation & Food Service Activities"
"5726","Rockview Engineering Ltd","2016-17","11,000","86,000",2,"Northern Ireland","Fermanagh and Omagh",41201,"Construction"
"5727","Sendmybag.com","2017-18","62,171","179,194",0,"Northern Ireland","Ards and North Down",82990,"Admin & Support Service Activities"
"5728","Green Energy Engineering","2017-18","53,867","163,587",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",43220,"Construction"
"5729","Bopworx Limited","2016-17","5,000","10,185",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities"
"5730","Reveal Procurement","2016-17","3,750","16,000",1,"Northern Ireland","Armagh City, Banbridge and Craigavon",70229,"Professional, Scientific & Technical Activities"
"5731","Total Pools & Leisure Limited","2016-17","3,900","9,750",0,"Northern Ireland","Mid and East Antrim",82990,"Admin & Support Service Activities"
"5732","Islander Kelp Ltd","2016-17","2,431","4,862",0,"Northern Ireland","Causeway Coast and Glens",10200,"Manufacturing"
"5733","Ecclesville Printing Services Ltd","2016-17","6,540","16,350",0,"Northern Ireland","Fermanagh and Omagh",18129,"Manufacturing"
"5734","A.Farlow (Engineering) Ltd","2016-17","2,738","6,846",0,"Northern Ireland","Causeway Coast and Glens",25910,"Manufacturing"
"5735","CET Limited","2016-17","42,000","346,650",7,"Northern Ireland","Armagh City, Banbridge and Craigavon",96040,"Other Service Activities"
"5736","Etain Limited","2016-17","15,000","48,000",0,"Northern Ireland","Belfast",62012,"Information & Communication"
"5737","JMC","2016-17","48,200","1,423,500",6,"Northern Ireland","Armagh City, Banbridge and Craigavon",28930,"Manufacturing"
"5738","Beacon Publishing Ltd","2017-18","18,824","45,000",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"5739","Mobile Training Solutions Ltd","2017-18","49,208","167,866",0,"Northern Ireland","Belfast",85590,"Education"
"5740","Funds-Axis Limited","2016-17","2,778","5,555",0,"Northern Ireland","Belfast",66190,"Financial & Insurance Activities"
"5741","Easability Showers Limited","2016-17","2,111","4,222",0,"Northern Ireland","Lisburn and Castlereagh",22290,"Manufacturing"
"5742","Tailored Image Ltd","2016-17","15,862","32,030",0,"Northern Ireland","Mid Ulster",14120,"Manufacturing"
"5743","Foods Connected Ltd","2016-17","798","1,595",0,"Northern Ireland","Derry City and Strabane",63990,"Information & Communication"
"5744","Aquasun","2016-17","23,896","267,000",4,"Northern Ireland","Causeway Coast and Glens",79909,"Admin & Support Service Activities"
"5745","ETimes2 Ltd","2017-18","4,500","15,000",1,"Northern Ireland","Newry, Mourne and Down",70229,"Professional, Scientific & Technical Activities"
"5746","Mynurserypal Ltd","2016-17","2,500","5,000",0,"Northern Ireland","Antrim and Newtownabbey",63990,"Information & Communication"
"5747","STATSports Group Limited","2018-19","2,537,923","16,570,190",211,"Northern Ireland","Newry, Mourne and Down",74909,"Professional, Scientific & Technical Activities"
"5748","William Coates Ltd.","2016-17","48,000","484,000",8,"Northern Ireland","Antrim and Newtownabbey",28490,"Manufacturing"
"5749","HNH Partners Limited","2016-17","10,000","22,057",0,"Northern Ireland","Belfast",69201,"Professional, Scientific & Technical Activities"
"5750","Mynurserypal Ltd","2016-17","3,500","7,000",0,"Northern Ireland","Antrim and Newtownabbey",63990,"Information & Communication"
"5751","Irwin's Bakery","2017-18","264,509","1,186,870",27,"Northern Ireland","Armagh City, Banbridge and Craigavon",10710,"Manufacturing"
"5752","Shnuggle","2016-17","47,000","286,000",6,"Northern Ireland","Ards and North Down",32990,"Manufacturing"
"5753","Tekk Designs Limited","2016-17","22,550","194,700",5,"Northern Ireland","Causeway Coast and Glens",74100,"Professional, Scientific & Technical Activities"
"5754","Red Duck Diving","2016-17","4,618","9,236",0,"Northern Ireland","Causeway Coast and Glens",93190,"Arts, Entertainment & Recreation"
"5755","Moy Park Limited","2017-18","549,378","3,275,666",0,"United States of America","Armagh City, Banbridge and Craigavon",10120,"Manufacturing"
"5756","GEM Interior Contracts Ltd","2016-17","21,000","280,000",4,"Northern Ireland","Ards and North Down",42990,"Construction"
"5757","Vita Liberata Limited","2016-17","19,147","77,999",0,"Northern Ireland","Antrim and Newtownabbey",46450,"Wholesale & Retail Trade & Repair of Vehicles"
"5758","Clearsky Brewing Company Limited","2016-17","568","1,135",0,"Northern Ireland","Mid Ulster",11050,"Manufacturing"
"5759","Silverbirch Hotel","2017-18","13,420","68,172",0,"Northern Ireland","Fermanagh and Omagh",55100,"Accommodation & Food Service Activities"
"5760","Islander Kelp Ltd","2016-17","25,609","60,193",0,"Northern Ireland","Causeway Coast and Glens",10200,"Manufacturing"
"5761","Sauce Works Ltd","2016-17","37,992","126,640",1,"Northern Ireland","Newry, Mourne and Down",10840,"Manufacturing"
"5762","Whiskin Precision Engineering Limited","2016-17","13,659","37,997",0,"Northern Ireland","Lisburn and Castlereagh",71129,"Professional, Scientific & Technical Activities"
"5763","Easibuild.com Ltd","2017-18","28,932","78,000",0,"Northern Ireland","Belfast",62090,"Information & Communication"
"5764","Uni Baggage Ltd","2016-17","12,000","54,000",0,"Northern Ireland","Belfast",50100,"Transportation & Storage"
"5765","Fluent Technology Limited","2017-18","49,032","142,646",0,"Northern Ireland","Lisburn and Castlereagh",63110,"Information & Communication"
"5766","ITS Plant-Tech Ltd","2016-17","9,990","19,980",0,"Northern Ireland","Fermanagh and Omagh",71200,"Professional, Scientific & Technical Activities"
"5767","Paradox Omega Oils Ltd","2016-17","32,100","137,000",1,"Northern Ireland","Belfast",10890,"Manufacturing"
"5768","Bullitt Hotel","2016-17","4,968","16,560",0,"Northern Ireland","Belfast",55100,"Accommodation & Food Service Activities"
"5769","Brenntag UK Limited","2016-17","27,000","145,000",1,"Germany","Belfast",20590,"Manufacturing"
"5770","The Wooden Floor Company (N.I.) Limited","2016-17","4,500","15,000",0,"Northern Ireland","Belfast",47530,"Wholesale & Retail Trade & Repair of Vehicles"
"5771","KOSI Corporation Limited","2016-17","3,000","6,000",0,"Northern Ireland","Newry, Mourne and Down",70221,"Professional, Scientific & Technical Activities"
"5772","KOSI Corporation Limited","2016-17","850","1,700",0,"Northern Ireland","Newry, Mourne and Down",70221,"Professional, Scientific & Technical Activities"
"5773","Tekk Designs Limited","2016-17","6,080","15,200",0,"Northern Ireland","Causeway Coast and Glens",74100,"Professional, Scientific & Technical Activities"
"5774","Tepee Design","2016-17","18,800","117,000",4,"Northern Ireland","Lisburn and Castlereagh",62010,"Information & Communication"
"5775","AM Electrical","2016-17","2,070","4,140",0,"Northern Ireland","Mid Ulster",27900,"Manufacturing"
